epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,42202.8,1.95042,1.30506,0.00461,0.62447,0.56505,0.54598,0.28683,2.16547,1.41238,0.00483,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,42580.1,1.90463,1.30679,0.00478,0.63134,0.58146,0.55478,0.29283,2.11492,1.40678,0.00474,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,42945.8,1.90792,1.30306,0.0047,0.63105,0.58018,0.55749,0.29406,2.09232,1.40765,0.00469,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,44316.7,1.88523,1.28206,0.00466,0.62784,0.58293,0.55708,0.29437,2.09559,1.40808,0.00468,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,44671.2,1.90852,1.25768,0.00461,0.62094,0.5772,0.55088,0.28843,2.14856,1.41592,0.00471,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,45038.1,1.92663,1.29295,0.0046,0.60788,0.57584,0.54368,0.28381,2.21763,1.41892,0.00482,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,45394.8,1.89691,1.27073,0.00446,0.60059,0.56922,0.53765,0.28108,2.2707,1.43096,0.00492,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,45748.3,1.92141,1.27032,0.00436,0.60806,0.57503,0.54121,0.28263,2.2671,1.42322,0.00487,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,46106.8,1.8975,1.24086,0.00427,0.61235,0.58292,0.54905,0.28483,2.23514,1.41577,0.00479,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,46489.1,1.86354,1.28723,0.00455,0.61618,0.57432,0.54637,0.28454,2.23591,1.42119,0.0048,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
